,Address,State,City,Zip_Code,latitude,longitude,Costco_Hearing_Center
0,5225 COMMERCIAL BLVD,AK,JUNEAU,99801-7210,58.35778,-134.482631,Yes
1,48 COLLEGE RD,AK,FAIRBANKS,99701-1706,64.851944,-147.708494,Yes
2,4125 DEBARR RD,AK,ANCHORAGE,99508-3115,61.20968,-149.80429,Yes
3,330 W DIMOND BLVD,AK,ANCHORAGE,99515-1903,61.1446,-149.885433,Yes
4,1205 N. MEMORIAL PKWY,AL,HUNTSVILLE,35801-5930,34.742422,-86.601066,Yes
5,3650 GALLERIA CIR,AL,HOOVER,35244-2346,33.379079,-86.811453,Yes
6,8251 EASTCHASE PKWY,AL,MONTGOMERY,36117-7033,32.363886,-86.15088,Yes
7,1450 TINGLE CIRCLE WEST,AL,MOBILE,36606-2632,30.647386,-88.119292,Yes
8,16901 CHENAL PARKWAY,AR,LITTLE ROCK,72223,34.757188,-92.453639,Yes
9,3911 E STATE ROUTE 69,AZ,PRESCOTT,86301-6717,34.548006,-112.396774,Yes
10,1444 S SOSSAMAN RD,AZ,MESA,85209-3400,33.392191,-111.667523,Yes
11,15255 N HAYDEN RD,AZ,SCOTTSDALE,85260-2507,33.624136,-111.901912,Yes
12,2450 E BEARDSLEY RD,AZ,PHOENIX,85050-1300,33.66957,-112.02916,Yes
13,4570 E CACTUS RD,AZ,PHOENIX,85032-7702,33.599661,-111.983217,Yes
14,2887 S MARKET ST,AZ,GILBERT,85295-1303,33.297538,-111.747827,Yes
15,1415 N ARIZONA AVE,AZ,GILBERT,85233-1616,33.375409,-111.842325,Yes
16,19001 N 27TH AVE,AZ,PHOENIX,85027-5036,33.659357,-112.115464,Yes
17,6255 EAST GRANT ROAD,AZ,TUCSON,85712-5834,32.2519,-110.859,Yes
18,4502 E OAK ST,AZ,PHOENIX,85008-2411,33.47292,-111.98484,Yes
19,595 S GALLERIA WAY,AZ,CHANDLER,85226-4932,33.294814,-111.898568,Yes
20,1445 W ELLIOT RD,AZ,TEMPE,85284-1103,33.349027,-111.958687,Yes
21,3901 W COSTCO DR,AZ,TUCSON,85741-2864,32.327402,-111.048018,Yes
22,17550 N 79TH AVE,AZ,GLENDALE,85308-8711,33.643778,-112.230948,Yes
23,1650 E TUCSON MARKETPLACE BLVD,AZ,TUCSON,85713-6561,32.181912,-110.946742,Yes
24,10000 W MCDOWELL RD,AZ,AVONDALE,85392-4803,33.464736,-112.275458,Yes
25,16385 W. WADDELL RD.,AZ,SURPRISE,85388,33.610013,-112.41034,Yes
26,2030 N IMPERIAL AVE,CA,EL CENTRO,92243-1323,32.812089,-115.57,Yes
27,79795 HIGHWAY 111,CA,LA QUINTA,92253-4756,33.70727,-116.272325,Yes
28,72800 DINAH SHORE DR,CA,PALM DESERT,92211-0814,33.801928,-116.390717,Yes
29,14555 VALLEY CENTER DR,CA,VICTORVILLE,92395-4216,34.515375,-117.319773,Yes
30,1099 E HOSPITALITY LN,CA,SAN BERNARDINO,92408-2813,34.0689,-117.2613,Yes
31,12700 DAY ST,CA,MORENO VALLEY,92553-7531,33.938333,-117.278735,Yes
32,16505 SIERRA LAKES PKWY,CA,FONTANA,92336-1256,34.138639,-117.44383,Yes
